OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025X,2026-08-24T07:09:03.812256,12.96892962,0.0564255,99.2075,258.552,334.2388,35.4617,0,U,29733,999,92419,0.001864,1.082e-05,0
FENGYUN 1C DEB,1999-025Y,2026-08-25T06:22:59.603232,12.92019574,0.06057962,99.1671,130.5046,145.0316,345.6431,0,U,29734,999,91847,0.0028555019,1.724e-05,0
FENGYUN 1C DEB,1999-025Z,2026-08-25T21:42:34.198272,12.75895926,0.07040528,99.3835,115.2959,327.5336,28.4231,0,U,29735,999,90681,0.001055872,6e-06,0
FENGYUN 1C DEB,1999-025AA,2026-08-25T07:17:36.794976,12.5776058,0.0723921,99.4363,13.1458,10.2624,16.0968,0,U,29736,999,89757,0.00033222,1.19e-06,0
FENGYUN 1C DEB,1999-025AB,2026-08-25T17:17:15.514944,12.66310064,0.06993004,99.5751,155.8109,304.8751,75.0025,0,U,29737,999,90108,-0.00079294956,-4.33e-06,0
FENGYUN 1C DEB,1999-025AC,2026-08-25T07:09:21.997728,12.62479449,0.0853941,99.419,3.1272,98.9391,270.9239,0,U,29738,999,89440,0.00059989,4.27e-06,0
FENGYUN 1C DEB,1999-025AE,2026-08-25T05:27:45.224064,12.08708334,0.0972972,99.0658,21.1431,48.898,319.2067,0,U,29740,999,86021,-0.00071687,-2.99e-06,0
FENGYUN 1C DEB,1999-025AF,2026-08-24T10:38:33.880416,12.01685805,0.10243452,99.1851,43.6771,283.5607,91.7252,0,U,29741,999,55242,0.0021758744,8.32e-06,0
FENGYUN 1C DEB,1999-025AN,2026-08-25T08:09:59.280480,11.93034565,0.06714973,100.0286,109.0171,271.0313,81.3923,0,U,29748,999,81778,-0.053335878,-7.513e-05,0
IRIDIUM 33 DEB,1997-051L,2026-08-25T15:19:51.854304,14.43741812,0.00120914,86.403,312.1345,37.2641,322.9397,0,U,33773,999,92039,0.00017648609,6.2e-06,0
IRIDIUM 33 DEB,1997-051N,2026-08-25T22:40:20.155008,14.42162572,0.00138811,86.3627,300.1284,46.2389,75.4447,0,U,33775,999,91832,0.00024235165,8.18e-06,0
IRIDIUM 33 DEB,1997-051P,2026-08-25T07:28:51.924576,14.38612433,0.00165921,86.4087,333.4184,81.2849,342.1352,0,U,33776,999,91756,0.00015722812,5.02e-06,0
IRIDIUM 33 DEB,1997-051Q,2026-08-25T04:44:42.892224,14.57229889,0.0009073,86.3749,283.9385,109.7504,250.4684,0,U,33777,999,92252,0.0005043,2.3e-05,0
IRIDIUM 33 DEB,1997-051T,2026-08-25T21:30:18.355392,14.42811335,0.0013249,86.3374,279.9822,51.5158,69.4403,0,U,33850,999,91845,0.000318018,1.081e-05,0
IRIDIUM 33 DEB,1997-051W,2026-08-25T06:54:17.080416,13.99945967,0.0209302,85.996,237.6422,171.4961,250.6152,0,U,33853,999,88920,0.00047842,8.68e-06,0
IRIDIUM 33 DEB,1997-051AD,2026-08-25T20:38:37.252896,14.70838964,0.0009609,86.3778,273.4929,158.068,325.6719,0,U,33860,999,92483,0.00063624633,3.913e-05,0
IRIDIUM 33 DEB,1997-051AF,2026-08-25T04:48:23.581152,14.73975477,0.0045286,86.4063,284.3846,259.9416,166.0174,0,U,33862,999,92582,0.00028384,1.919e-05,0
IRIDIUM 33 DEB,1997-051AK,2026-08-25T18:42:57.393216,14.26718212,0.01130992,86.3055,344.5868,59.6644,92.6432,0,U,33866,999,90459,0.00098475565,2.568e-05,0
IRIDIUM 33 DEB,1997-051XG,2026-08-28T06:13:26.474880,14.28456752,0.0073866,86.1698,223.746,234.6639,124.7634,0,U,37136,999,68188,0.00035739,9.39e-06,0
IRIDIUM 33 DEB,1997-051XH,2026-08-28T09:52:18.607872,14.53006731,0.0025448,86.3493,290.6394,50.7566,309.5892,0,U,37548,999,69286,0.00041328,1.733e-05,0
IRIDIUM 33 DEB,1997-051XK,2026-08-28T08:35:31.346880,14.70663179,0.000117,86.3719,268.8745,13.8911,346.2337,0,U,37550,999,90130,0.00066412,4.064e-05,0
COSMOS 2251 DEB,1993-036E,2026-08-25T10:00:30.691296,14.32634931,0.00146754,74.035,216.8395,177.1254,337.4359,0,U,33757,999,91657,2.7565614e-05,4.9e-07,0
COSMOS 2251 DEB,1993-036F,2026-08-25T07:10:30.176832,14.53109757,0.0016217,74.0254,92.9699,102.5155,18.4173,0,U,33758,999,92015,0.00047599,1.944e-05,0
COSMOS 2251 DEB,1993-036H,2026-08-25T07:09:47.488320,14.35805653,0.0021179,74.0325,172.3782,214.8933,300.6733,0,U,33760,999,91792,5.8185e-05,1.42e-06,0
COSMOS 2251 DEB,1993-036J,2026-08-25T03:42:18.932256,14.43154137,0.00228329,74.0359,138.0017,162.4455,348.5127,0,U,33761,999,91918,0.0002093358,6.79e-06,0
COSMOS 2251 DEB,1993-036K,2026-08-25T16:18:06.361920,14.33729401,0.00158391,74.0407,202.0844,209.4321,326.0507,0,U,33762,999,91715,3.0716332e-05,5.9e-07,0
COSMOS 2251 DEB,1993-036M,2026-08-25T13:08:10.023936,14.39949855,0.00208174,74.0341,160.1011,60.9784,111.5459,0,U,33764,999,91838,0.00019362475,5.84e-06,0
COSMOS 2251 DEB,1993-036N,2026-08-25T09:01:57.196416,15.28984008,0.00468452,74.0006,356.5781,18.3702,341.9178,0,U,33765,999,93501,0.0018094991,0.00052983,0
COSMOS 2251 DEB,1993-036P,2026-08-25T19:20:18.109824,14.35647595,0.00626995,74.1864,29.6601,160.3476,200.0116,0,U,33766,999,91419,0.000425162,1.23e-05,0
COSMOS 2251 DEB,1993-036R,2026-08-25T18:47:30.156288,13.58637224,0.03675089,74.07,166.5312,267.4973,116.7692,0,U,33768,999,86773,6.8694634e-05,5.4e-07,0
CALSPHERE 1,1964-063C,2026-08-28T20:37:50.216736,13.76689738,0.00279469,90.2173,73.4573,73.4661,33.6949,0,U,900,999,8142,0.000490132,4.92e-06,0
CALSPHERE 2,1964-063E,2026-08-28T12:16:49.242720,13.52905009,0.0019356,90.229,77.5019,23.1385,40.2028,0,U,902,999,86604,7.1238e-05,5.6e-07,0
TEMPSAT 1,1965-065E,2026-08-28T21:48:22.539744,13.33597528,0.00712421,90.0024,212.6015,45.6106,343.0046,0,U,1512,999,96974,1.899889e-05,1.9e-07,0
CALSPHERE 4A,1965-065H,2026-08-28T20:54:05.721984,13.36288938,0.00678725,89.8936,121.7631,258.602,231.696,0,U,1520,999,97241,0.00016503719,9.5e-07,0
OPS 5712 (P/L 160),1967-053A,2026-08-28T22:19:12.782784,14.78531421,0.00044931,69.9149,219.8746,281.1453,78.919,0,U,2826,999,7698,0.00097770098,7.084e-05,0
SURCAL 159,1967-053F,2026-08-28T20:09:42.465312,13.9961693,0.00065076,69.9729,204.3774,356.6005,3.5057,0,U,2872,999,2037,6.3985291e-05,4e-07,0
OPS 5712 (P/L 153),1967-053H,2026-08-28T14:12:00.236160,13.96837222,0.0004653,69.9757,320.1125,107.9406,252.2207,0,U,2874,999,1690,5.3436e-05,2.1e-07,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-08-28T20:15:15.359328,14.37943674,0.00592918,87.624,318.6454,354.0498,5.999,0,U,5398,999,88432,0.00013839997,4.44e-06,0
OSCAR 7 (AO-7),1974-089B,2026-08-28T22:20:07.283904,12.53699342,0.00122166,101.9921,254.9379,354.3208,121.874,0,U,7530,999,36963,9.4345711e-05,-3.1e-07,0
STARLETTE,1975-010A,2026-08-28T21:20:33.271008,13.8235148,0.02057158,49.8238,177.6269,303.2292,54.9032,0,U,7646,999,60459,-3.237812e-06,-1.46e-06,0
UOSAT 2 (UO-11),1984-021B,2026-08-28T15:21:28.275840,14.90952907,0.00063866,97.8137,205.4419,313.629,46.4398,0,U,14781,999,26792,0.00014419719,1.368e-05,0
AJISAI (EGS),1986-061A,2026-08-28T22:02:47.168736,12.4451719,0.00112304,50.009,283.7518,5.7774,176.2243,0,U,16908,999,48944,0.00019003501,-7e-07,0
LUSAT (LO-19),1990-005G,2026-08-28T12:45:29.314656,14.34140508,0.0011458,98.8838,264.3245,359.698,0.4195,0,U,20442,999,91276,4.6212e-05,8.3e-07,0
HST,1990-037B,2026-08-28T13:23:06.360000,15.31487121,0.000166,28.4732,305.6703,216.3861,143.6623,0,U,20580,999,79967,0.00017845,5.82e-05,0
SCD 1,1993-009B,2026-08-28T00:27:59.025888,14.46144291,0.00419539,24.969,124.0444,178.0466,324.7693,0,U,22490,999,77152,5.7932142e-05,3.99e-06,0
