OBJECT_A,NORAD_A,OBJECT_B,NORAD_B,TCA,MISS_DISTANCE_KM,RELATIVE_VELOCITY_KM_S
ORBCOMM FM06,25118,SCD 2,25504,2026-09-02T14:25:38.987744+00:00,8.377960020792786,6.125493470733603
IRIDIUM 33 DEB,37136,COSMOS 2251 DEB,33764,2026-09-01T17:19:38.987744+00:00,19.523646241673706,9.037100081884676
COSMOS 2251 DEB,33757,STELLA,22824,2026-09-01T09:16:38.987744+00:00,21.576620677251253,11.956362844109407
TECHSAT 1B (GO-32),25397,WESTPAC,25398,2026-09-05T19:49:38.987744+00:00,23.302117807186583,0.8746452995357606
STELLA,22824,ITAMSAT (IO-26),22826,2026-09-05T10:04:38.987744+00:00,31.93247497047456,0.35663220550028885
IRIDIUM 33 DEB,33776,RIGIDSPHERE 2 (LCS 4),5398,2026-09-03T09:28:38.987744+00:00,32.766688533631815,1.6314797761541515
COSMOS 2251 DEB,33761,SCD 2,25504,2026-08-31T17:55:38.987744+00:00,32.80591667885567,11.260945847041446
ITAMSAT (IO-26),22826,FORTE,24920,2026-09-02T03:58:38.987744+00:00,35.25482766558378,12.493323065942063
IRIDIUM 33 DEB,33777,IRIDIUM 33 DEB,37548,2026-09-02T04:19:38.987744+00:00,38.712336912539904,1.0592917917174665
RIGIDSPHERE 2 (LCS 4),5398,FORTE,24920,2026-09-02T14:07:38.987744+00:00,40.13916653755986,12.619416060182818
USA 119,23893,DIWATA 2B,43678,2026-09-06T00:16:38.987744+00:00,45.454821414895065,12.58623272230416
COSMOS 2251 DEB,33760,ORBCOMM FM04,25159,2026-09-04T19:43:38.987744+00:00,47.48146359591293,14.917422737524069
IRIDIUM 33 DEB,33866,COSMOS 2251 DEB,33766,2026-09-03T03:40:38.987744+00:00,51.60971991321022,4.469460961905809
IRIDIUM 33 DEB,33776,COSMOS 2251 DEB,33758,2026-09-04T23:55:38.987744+00:00,53.519461281108065,11.618476818412987
RIGIDSPHERE 2 (LCS 4),5398,ITAMSAT (IO-26),22826,2026-09-03T15:37:38.987744+00:00,55.60644436879602,1.4876913960899285
OSCAR 7 (AO-7),7530,AJISAI (EGS),16908,2026-09-02T05:04:38.987744+00:00,56.15356637810265,6.368441188391394
IRIDIUM 33 DEB,33853,TECHSAT 1B (GO-32),25397,2026-09-01T04:13:38.987744+00:00,56.4930318798698,1.7871447786902999
COSMOS 2251 DEB,33760,COSMOS 2251 DEB,33768,2026-09-03T10:43:38.987744+00:00,57.11299686708805,0.4020208327935258
COSMOS 2251 DEB,33757,COSMOS 2251 DEB,33760,2026-09-04T20:13:38.987744+00:00,57.51586042718996,5.4570065035695166
IRIDIUM 33 DEB,33866,COSMOS 2251 DEB,33760,2026-09-01T09:52:38.987744+00:00,58.809818318797475,14.766299285873899
COSMOS 2251 DEB,33760,RIGIDSPHERE 2 (LCS 4),5398,2026-09-02T14:52:38.987744+00:00,62.46905602720469,14.490350644135566
COSMOS 2251 DEB,33764,ORBCOMM FM04,25159,2026-09-02T03:31:38.987744+00:00,67.57489584520273,14.94340954434429
