mission_name,launch_date,time_from_launch_s,x_km,y_km,z_km,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,altitude_km,latitude_deg,longitude_deg,trajectory_source,rocket,launch_site,target_altitude_km,inclination_deg
Transporter-1,2021-01-24,0.0,917.8274928000302,-5530.367882522306,3041.9163973053483,0.4034227302845561,0.06606583535667508,0.00048449558125192684,0.0,28.484999999999996,,"modeled (gravity-turn analytic, Teofilatto et al. 2022)",Falcon 9,"Cape Canaveral SLC-40, USA",525.0,97.5
Transporter-1,2021-01-24,5.0,919.86567967498,-5530.184150064125,3042.0241247164404,0.41119773284231115,0.008888783177763017,0.044920596475604084,0.18569312404760435,28.485195869122293,,"modeled (gravity-turn analytic, Teofilatto et al. 2022)",Falcon 9,"Cape Canaveral SLC-40, USA",525.0,97.5
Transporter-1,2021-01-24,10.0,921.9342994350351,-5530.266695653664,3042.3826520692237,0.41580046625819245,-0.04078342025576666,0.09988038316026546,0.7269097524746552,28.48622192971077,,"modeled (gravity-turn analytic, Teofilatto et al. 2022)",Falcon 9,"Cape Canaveral SLC-40, USA",525.0,97.5
Transporter-1,2021-01-24,15.0,924.0195582459646,-5530.581307410923,3043.0350110847426,0.4179199724104856,-0.08403678320021706,0.1621279697053837,1.6125108030458082,28.48857181771733,,"modeled (gravity-turn analytic, Teofilatto et al. 2022)",Falcon 9,"Cape Canaveral SLC-40, USA",525.0,97.5
Transporter-1,2021-01-24,20.0,926.1098799640417,-5531.097150606058,3044.013489699859,0.41786765291683897,-0.12133787407545904,0.23012565200966006,2.829488290326414,28.49263796027356,,"modeled (gravity-turn analytic, Teofilatto et al. 2022)",Falcon 9,"Cape Canaveral SLC-40, USA",525.0,97.5
Transporter-1,2021-01-24,25.0,928.1949558492056,-5531.785319771848,3045.344109218128,0.41585467296746526,-0.15301547219310985,0.3028374802175914,4.363720223757929,28.49875356935864,,"modeled (gravity-turn analytic, Teofilatto et al. 2022)",Falcon 9,"Cape Canaveral SLC-40, USA",525.0,97.5
Transporter-1,2021-01-24,30.0,930.2654001332594,-5532.618398221827,3047.048407465987,0.4120450196340892,-0.17934303200911828,0.37948293615428896,6.200401208426676,28.50720873311484,,"modeled (gravity-turn analytic, Teofilatto et al. 2022)",Falcon 9,"Cape Canaveral SLC-40, USA",525.0,97.5
Transporter-1,2021-01-24,35.0,932.3125690508257,-5533.570260114031,3049.144442284981,0.40657507689321554,-0.2005657337387838,0.45943994875769567,8.324334725672175,28.518259249666176,,"modeled (gravity-turn analytic, Teofilatto et al. 2022)",Falcon 9,"Cape Canaveral SLC-40, USA",525.0,97.5
Transporter-1,2021-01-24,40.0,934.3284475202253,-5534.615960383362,3051.6474497859926,0.39956281215286793,-0.21691143459270926,0.5421961867568373,10.720146200809275,28.532132346341065,,"modeled (gravity-turn analytic, Teofilatto et al. 2022)",Falcon 9,"Cape Canaveral SLC-40, USA",525.0,97.5
Transporter-1,2021-01-24,45.0,936.3055698743203,-5535.73166215392,3054.570316580015,0.39111274976059307,-0.22859558019483112,0.6273207915027273,13.372444136245262,28.54903077187324,,"modeled (gravity-turn analytic, Teofilatto et al. 2022)",Falcon 9,"Cape Canaveral SLC-40, USA",525.0,97.5
