OBJECT_A,OBJECT_B,TCA,MISS_DISTANCE_KM,RELATIVE_VELOCITY_KM_S
ORBCOMM FM06,SCD 2,2026-09-02 14:25:38.987744+00:00,8.377960020792786,6.125493470733603
IRIDIUM 33 DEB,COSMOS 2251 DEB,2026-09-01 17:19:38.987744+00:00,19.523646241673703,9.037100081884676
COSMOS 2251 DEB,STELLA,2026-09-01 09:16:38.987744+00:00,21.576620677251253,11.956362844109409
TECHSAT 1B (GO-32),WESTPAC,2026-09-05 19:49:38.987744+00:00,23.302117807186583,0.8746452995357606
STELLA,ITAMSAT (IO-26),2026-09-05 10:04:38.987744+00:00,31.93247497047456,0.3566322055002888
IRIDIUM 33 DEB,RIGIDSPHERE 2 (LCS 4),2026-09-03 09:28:38.987744+00:00,32.766688533631815,1.6314797761541515
COSMOS 2251 DEB,SCD 2,2026-08-31 17:55:38.987744+00:00,32.80591667885567,11.260945847041446
ITAMSAT (IO-26),FORTE,2026-09-02 03:58:38.987744+00:00,35.25482766558378,12.493323065942064
IRIDIUM 33 DEB,IRIDIUM 33 DEB,2026-09-02 04:19:38.987744+00:00,38.712336912539904,1.0592917917174665
RIGIDSPHERE 2 (LCS 4),FORTE,2026-09-02 14:07:38.987744+00:00,40.13916653755986,12.619416060182818
USA 119,DIWATA 2B,2026-09-06 00:16:38.987744+00:00,45.454821414895065,12.58623272230416
COSMOS 2251 DEB,ORBCOMM FM04,2026-09-04 19:43:38.987744+00:00,47.48146359591293,14.917422737524069
IRIDIUM 33 DEB,COSMOS 2251 DEB,2026-09-03 03:40:38.987744+00:00,51.60971991321022,4.469460961905809
IRIDIUM 33 DEB,COSMOS 2251 DEB,2026-09-04 23:55:38.987744+00:00,53.51946128110807,11.618476818412988
RIGIDSPHERE 2 (LCS 4),ITAMSAT (IO-26),2026-09-03 15:37:38.987744+00:00,55.60644436879602,1.4876913960899285
OSCAR 7 (AO-7),AJISAI (EGS),2026-09-02 05:04:38.987744+00:00,56.15356637810265,6.368441188391394
IRIDIUM 33 DEB,TECHSAT 1B (GO-32),2026-09-01 04:13:38.987744+00:00,56.4930318798698,1.7871447786903
COSMOS 2251 DEB,COSMOS 2251 DEB,2026-09-03 10:43:38.987744+00:00,57.11299686708805,0.4020208327935258
COSMOS 2251 DEB,COSMOS 2251 DEB,2026-09-04 20:13:38.987744+00:00,57.51586042718996,5.4570065035695166
IRIDIUM 33 DEB,COSMOS 2251 DEB,2026-09-01 09:52:38.987744+00:00,58.80981831879748,14.7662992858739
COSMOS 2251 DEB,RIGIDSPHERE 2 (LCS 4),2026-09-02 14:52:38.987744+00:00,62.46905602720469,14.490350644135566
COSMOS 2251 DEB,ORBCOMM FM04,2026-09-02 03:31:38.987744+00:00,67.57489584520273,14.94340954434429
