OBJECT_A,NORAD_A,OBJECT_B,NORAD_B,TCA,MISS_DISTANCE_KM,RELATIVE_VELOCITY_KM_S,COLLISION_PROBABILITY_MC,RISK_LEVEL,COUNTRY_A,OPERATOR_A,COUNTRY_B,OPERATOR_B,OBJECT_A_TYPE,OBJECT_B_TYPE,COLLISION_TYPE,REENTRY_LIKELIHOOD_A,REENTRY_LIKELIHOOD_B,REENTRY_CONCERN,CROSS_BORDER,COORDINATION_REQUIRED
IRIDIUM 33 DEB,33866,COSMOS 2251 DEB,33766,2026-09-03 03:40:48.261172+00:00,18.19587659134068,4.469667107543559,0.0,LOW,USA,Iridium Communications,Russia,Roscosmos,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
FENGYUN 1C DEB,29738,COSMOS 2251,22675,2026-08-29 08:27:48.261172+00:00,19.47025529394056,15.043693567447455,0.0,LOW,China,CNSA,Russia,Roscosmos,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
COSMOS 2251 DEB,33760,RIGIDSPHERE 2 (LCS 4),5398,2026-09-02 10:41:48.261172+00:00,25.45626487839281,14.550530302438412,0.0,LOW,Russia,Roscosmos,USA,US Air Force,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
IRIDIUM 33 DEB,33776,IRIDIUM 33 DEB,33850,2026-08-31 21:20:48.261172+00:00,28.261822033877824,6.66732847975641,0.0,LOW,USA,Iridium Communications,USA,Iridium Communications,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,False,False
IRIDIUM 33,24946,IRIDIUM 33 DEB,33773,2026-09-01 17:24:48.261172+00:00,28.506169349039386,1.134078944638063,0.0,LOW,USA,Iridium Communications,USA,Iridium Communications,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,False,False
IRIDIUM 33 DEB,33776,RIGIDSPHERE 2 (LCS 4),5398,2026-09-03 11:08:48.261172+00:00,28.72216873338728,1.6298012368940542,0.0,LOW,USA,Iridium Communications,USA,US Air Force,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,False,False
FENGYUN 1C,25730,LUSAT (LO-19),20442,2026-08-30 20:24:48.261172+00:00,31.148349773693656,6.307817531452863,0.0,LOW,China,CNSA,Argentina,AMSAT-LU,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
IRIDIUM 33,24946,IRIDIUM 33 DEB,33866,2026-09-04 07:19:48.261172+00:00,35.08497294714326,3.0794600187133114,0.0,LOW,USA,Iridium Communications,USA,Iridium Communications,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,False,False
COSMOS 2251 DEB,33757,LUSAT (LO-19),20442,2026-08-30 03:34:48.261172+00:00,35.24298059524051,7.728705614663434,0.0,LOW,Russia,Roscosmos,Argentina,AMSAT-LU,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
IRIDIUM 33 DEB,33776,COSMOS 2251 DEB,33760,2026-08-30 03:20:48.261172+00:00,35.548838919213345,14.61049105877974,0.0,LOW,USA,Iridium Communications,Russia,Roscosmos,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
