OBJECT_A,NORAD_A,OBJECT_B,NORAD_B,TCA,MISS_DISTANCE_KM,RELATIVE_VELOCITY_KM_S,SIGMA_A_KM,SIGMA_B_KM,MC_COLLISION_HITS,MC_SAMPLES,COLLISION_PROBABILITY_MC,MC_UPPER_95_PROBABILITY,INCLINATION_DIFFERENCE_DEG,ALTITUDE_DIFFERENCE_KM
ORBCOMM FM06,25118,SCD 2,25504,2026-09-02 14:25:38.987744+00:00,8.377960020792786,6.125493470733603,8.05617301222222,8.615836962222222,0,1000000,0.0,2.9957277863923437e-06,20.017400000000002,7.1045089346762325
IRIDIUM 33 DEB,37136,COSMOS 2251 DEB,33764,2026-09-01 17:19:38.987744+00:00,19.523646241673703,9.037100081884676,7.693967237222222,11.761961177222222,0,1000000,0.0,2.9957277863923437e-06,12.1357,38.22978435724417
COSMOS 2251 DEB,33757,STELLA,22824,2026-09-01 09:16:38.987744+00:00,21.576620677251253,11.956362844109409,11.454310702222223,6.261067687222222,0,1000000,0.0,2.9957277863923437e-06,24.731300000000005,17.256352894339216
TECHSAT 1B (GO-32),25397,WESTPAC,25398,2026-09-05 19:49:38.987744+00:00,23.302117807186583,0.8746452995357606,12.880140897222223,13.946070852222222,0,1000000,0.0,2.9957277863923437e-06,0.008099999999998886,4.658346715275911
STELLA,22824,ITAMSAT (IO-26),22826,2026-09-05 10:04:38.987744+00:00,31.93247497047456,0.3566322055002888,12.311067687222224,12.612876447222224,0,1000000,0.0,2.9957277863923437e-06,0.08929999999999438,13.093286808060839
IRIDIUM 33 DEB,33776,RIGIDSPHERE 2 (LCS 4),5398,2026-09-03 09:28:38.987744+00:00,32.766688533631815,1.6314797761541515,14.624775402222223,9.326451882222223,0,1000000,0.0,2.9957277863923437e-06,1.2152999999999992,2.213989124696127
COSMOS 2251 DEB,33761,SCD 2,25504,2026-08-31 17:55:38.987744+00:00,32.80591667885567,11.260945847041446,10.888889852222224,5.834586962222222,0,1000000,0.0,2.9957277863923437e-06,49.0395,7.867330191716974
ITAMSAT (IO-26),22826,FORTE,24920,2026-09-02 03:58:38.987744+00:00,35.25482766558378,12.493323065942064,7.731626447222222,7.4354463922222225,0,1000000,0.0,2.9957277863923437e-06,28.725100000000012,11.427151551193674
IRIDIUM 33 DEB,33777,IRIDIUM 33 DEB,37548,2026-09-02 04:19:38.987744+00:00,38.712336912539904,1.0592917917174665,12.973890547222222,8.153478817222222,0,1000000,0.0,2.9957277863923437e-06,0.02559999999999718,13.712545459240573
RIGIDSPHERE 2 (LCS 4),5398,FORTE,24920,2026-09-02 14:07:38.987744+00:00,40.13916653755986,12.619416060182818,8.117076882222221,8.069821392222222,0,1000000,0.0,2.9957277863923437e-06,17.6721,33.226388752092134
