TRUE_PROBABILITY,EVAL_QUBITS,ORACLE_CALLS,N_TRIALS,QAE_ERROR_MEAN,MC_ERROR_MEAN,QAE_WINS
0.5,3,700,10,1.1102230246251565e-16,0.015857142857142854,True
0.5,5,3100,10,1.1102230246251565e-16,0.0068064516129032245,True
0.5,7,12700,10,1.1102230246251565e-16,0.0028897637795275654,True
0.5,9,51100,10,1.1102230246251565e-16,0.0014344422700587167,True
0.5,11,204700,10,1.1102230246251565e-16,0.0007186126038104534,True
0.5,13,819100,10,1.1102230246251565e-16,0.0003592967891588361,True
0.5,15,3276700,10,1.1102230246251565e-16,0.00017984557634205257,True
0.5,17,13107100,10,1.1102230246251565e-16,8.994361834425147e-05,True
0.5,19,52428700,10,1.1102230246251565e-16,4.498299595449007e-05,True
0.1,3,700,10,0.0625948416848671,0.012285714285714289,False
0.1,5,3100,10,0.00738974977881251,0.004483870967741936,False
0.1,7,12700,10,0.0016727426183893584,0.002015748031496063,True
0.1,9,51100,10,0.0009667060009742032,0.0008571428571428563,False
0.1,11,204700,10,0.0005745034951256681,0.0004289203712750364,False
0.1,13,819100,10,1.1495203590339288e-06,0.00021499206446099346,True
0.1,15,3276700,10,9.77118797967913e-07,0.00010769981994079302,True
0.1,17,13107100,10,1.1351748363044867e-06,5.3909713056281286e-05,True
0.1,19,52428700,10,2.6919206239636727e-06,2.697186846135624e-05,True
0.05,3,700,10,0.11615223689149767,0.006857142857142856,False
0.05,5,3100,10,0.018304880245716228,0.00329032258064516,False
0.05,7,12700,10,0.002072211407539333,0.0015590551181102377,False
0.05,9,51100,10,0.0010011490289863402,0.0007221135029354203,False
0.05,11,204700,10,6.604581757849171e-06,0.00031167562286272545,True
0.05,13,819100,10,8.446793402583363e-06,0.000155902820168477,True
0.05,15,3276700,10,1.7195147860572802e-05,7.815790276802793e-05,True
0.05,17,13107100,10,3.749003546568222e-05,3.915435145836824e-05,True
0.05,19,52428700,10,5.947686421823445e-06,1.9590415173367792e-05,True
0.01,3,700,10,0.06257359312880716,0.0024285714285714284,False
0.01,5,3100,10,0.0003848997890698065,0.0016774193548387093,True
0.01,7,12700,10,0.00030951026797535494,0.0007007874015748032,True
0.01,9,51100,10,0.0013310931622564934,0.00035225048923679064,False
0.01,11,204700,10,0.0005833906371763795,0.00016414264777723492,False
0.01,13,819100,10,2.277101974046212e-05,7.117568062507615e-05,True
0.01,15,3276700,10,4.45732448808734e-06,3.5584582049012425e-05,True
0.01,17,13107100,10,1.6993283754158929e-06,1.7845289957351372e-05,True
0.01,19,52428700,10,1.531791217425013e-06,8.934038036419005e-06,True
0.005,3,700,10,0.027847456736183402,0.0020000000000000005,False
0.005,5,3100,10,0.019884050861756625,0.000903225806451613,False
0.005,7,12700,10,0.00046690641937369593,0.0006141732283464567,True
0.005,9,51100,10,0.0027200572943895996,0.0002602739726027399,False
0.005,11,204700,10,3.364655940663519e-05,0.00011333659013190036,True
0.005,13,819100,10,3.1372477335213454e-05,5.017702356244647e-05,True
0.005,15,3276700,10,2.350822760280487e-06,2.5177770317697748e-05,True
0.005,17,13107100,10,1.7483554075828182e-06,1.261911483089323e-05,True
0.005,19,52428700,10,8.044960621082266e-07,6.330502186779278e-06,True
0.001,3,700,10,0.0064573593128807154,0.0008857142857142857,False
0.001,5,3100,10,0.021633799432290053,0.0004193548387096774,False
0.001,7,12700,10,0.006515220260233612,0.00020629921259842518,False
0.001,9,51100,10,0.001204001775822162,0.0001334637964774951,False
0.001,11,204700,10,0.0010329930404447234,6.204201270151445e-05,False
0.001,13,819100,10,5.56801867756957e-05,2.6834330362593036e-05,False
0.001,15,3276700,10,2.063780313152634e-06,1.2958159123508404e-05,True
0.001,17,13107100,10,4.818043893591636e-07,5.629010231096143e-06,True
0.001,19,52428700,10,1.388836363944634e-07,2.8240257721438714e-06,True
