TRUE_PROBABILITY,QAE_SHOTS,MC_SAMPLES,N_TRIALS,QAE_MEAN_ESTIMATE,MC_MEAN_ESTIMATE,QAE_ERROR_MEAN,MC_ERROR_MEAN,QAE_ZERO_RATE,MC_ZERO_HIT_RATE,QAE_WINS
0.1,4096,100000,10,0.09989042004350562,0.10024999999999999,0.00032950213761150093,0.0009039999999999979,0.0,0.0,True
0.01,4096,100000,10,0.010055556005263477,0.009926,9.060541534077325e-05,0.0002540000000000002,0.0,0.0,True
0.001,4096,100000,10,0.0010062781970730202,0.001009,2.2743124531557594e-05,5.4999999999999995e-05,0.0,0.0,True
0.0001,4096,100000,10,0.00010053321911824927,9.1e-05,5.120112369873347e-06,1.8999999999999994e-05,0.0,0.0,True
1e-05,4096,100000,10,9.959187127805909e-06,1.1e-05,2.7831242450646534e-06,9e-06,0.0,0.4,True
1e-06,4096,100000,10,3.3518499116283103e-07,4.000000000000001e-06,8.846505995298402e-07,4.2000000000000004e-06,0.7,0.6,True
1e-07,4096,100000,10,0.0,0.0,1e-07,1e-07,1.0,1.0,False
1e-08,4096,100000,10,0.0,0.0,1e-08,1e-08,1.0,1.0,False
1e-09,4096,100000,10,0.0,0.0,1.0000000000000003e-09,1.0000000000000003e-09,1.0,1.0,False
1e-10,4096,100000,10,0.0,0.0,1e-10,1e-10,1.0,1.0,False
