TRUE_PROBABILITY,TRIAL,QAE_ESTIMATE,QAE_ERROR,QAE_ZERO,QAE_RUNTIME_SEC,MC_ESTIMATE,MC_ERROR,MC_HITS,MC_ZERO_HITS
0.1,0,0.09925791159632641,0.0007420884036735964,False,0.9548895999996603,0.10056,0.0005599999999999911,10056,False
0.1,1,0.09957752938559015,0.00042247061440985056,False,1.269902899999579,0.10073,0.0007299999999999945,10073,False
0.1,2,0.09944586670943673,0.0005541332905632801,False,1.670996599999853,0.09911,0.0008900000000000019,9911,False
0.1,3,0.10063361730288616,0.0006336173028861497,False,1.5325219000005745,0.09891,0.0010900000000000076,9891,False
0.1,4,0.10001068058415948,1.068058415946982e-05,False,1.5703888000007282,0.10021,0.00020999999999998797,10021,False
0.1,5,0.09989760404560044,0.0001023959543995645,False,1.1289496999997937,0.1006,0.0005999999999999894,10060,False
0.1,6,0.10002953220140534,2.9532201405335634e-05,False,1.776539500000581,0.10111,0.0011099999999999999,10111,False
0.1,7,0.10042578081713462,0.0004257808171346106,False,1.7562667000001966,0.09944,0.0005600000000000049,9944,False
0.1,8,0.09985992450212024,0.00014007549787976858,False,1.8080228999988321,0.09927,0.0007300000000000084,9927,False
0.1,9,0.09976575329039662,0.00023424670960338345,False,1.2682239999994636,0.10256,0.002559999999999993,10256,False
0.01,0,0.010205062610874322,0.00020506261087432226,False,0.936469100000977,0.0093,0.000700000000000001,930,False
0.01,1,0.010205062610874322,0.00020506261087432226,False,0.9498665999999503,0.00964,0.00036000000000000094,964,False
0.01,2,0.009885516175743705,0.00011448382425629546,False,0.9489309999989928,0.01012,0.00012000000000000031,1012,False
0.01,3,0.009985224399757799,1.4775600242201287e-05,False,0.9612933000007615,0.00971,0.0002900000000000003,971,False
0.01,4,0.010003974830280557,3.974830280556452e-06,False,0.9381428999986383,0.00983,0.00017,983,False
0.01,5,0.009954012374112014,4.598762588798634e-05,False,0.9455751999994391,0.01017,0.00017,1017,False
0.01,6,0.010047793541326028,4.779354132602824e-05,False,0.9417962999996234,0.00997,3.0000000000000512e-05,997,False
0.01,7,0.010097988127607375,9.798812760737456e-05,False,0.9156767000004038,0.01022,0.0002199999999999997,1022,False
0.01,8,0.010123131840732618,0.0001231318407326175,False,0.969428299998981,0.00991,8.99999999999998e-05,991,False
0.01,9,0.010047793541326028,4.779354132602824e-05,False,0.9316318000001047,0.01039,0.0003899999999999997,1039,False
0.001,0,0.0009906245821008014,9.375417899198588e-06,False,0.9358128999992914,0.00104,3.999999999999989e-05,104,False
0.001,1,0.0009768363599418524,2.3163640058147632e-05,False,0.9474628999996639,0.00107,6.999999999999997e-05,107,False
0.001,2,0.0009866752394942782,1.332476050572187e-05,False,0.983793199999127,0.00087,0.00013000000000000002,87,False
0.001,3,0.0010084941423249354,8.494142324935424e-06,False,0.9397925000012037,0.00093,6.999999999999997e-05,93,False
0.001,4,0.0010528470540655146,5.2847054065514616e-05,False,0.9542923999997583,0.00102,2.0000000000000052e-05,102,False
0.001,5,0.0010406562493515891,4.06562493515891e-05,False,0.9259020999998029,0.00097,2.999999999999997e-05,97,False
0.001,6,0.001036608406825452,3.6608406825452055e-05,False,0.9422543000000587,0.00102,2.0000000000000052e-05,102,False
0.001,7,0.0010065007554553975,6.500755455397453e-06,False,0.936287500000617,0.001,0.0,100,False
0.001,8,0.0009906245821008014,9.375417899198588e-06,False,0.936593600001288,0.00108,7.999999999999999e-05,108,False
0.001,9,0.0009729145990695794,2.7085400930420634e-05,False,0.9387647999992623,0.00109,9.000000000000002e-05,109,False
0.0001,0,0.00010169801104478251,1.698011044782503e-06,False,0.9476295999993454,0.0001,0.0,10,False
0.0001,1,0.00010169801104478251,1.698011044782503e-06,False,0.935518399999637,0.00011,9.999999999999999e-06,11,False
0.0001,2,9.302087099558634e-05,6.979129004413667e-06,False,0.9457122000003437,0.0001,0.0,10,False
0.0001,3,0.0001068300538725291,6.830053872529092e-06,False,0.9629705000006652,5e-05,5e-05,5,False
0.0001,4,0.00011142420423863754,1.1424204238637536e-05,False,0.9657255999991321,9e-05,9.999999999999999e-06,9,False
0.0001,5,9.793186998261224e-05,2.0681300173877603e-06,False,0.998903200001223,0.0001,0.0,10,False
0.0001,6,0.00010043473627083535,4.347362708353455e-07,False,0.9583302999999432,9e-05,9.999999999999999e-06,9,False
0.0001,7,9.669227850786152e-05,3.3077214921384816e-06,False,0.9487776000005397,9e-05,9.999999999999999e-06,9,False
0.0001,8,8.94205142558195e-05,1.057948574418051e-05,False,0.9638592999999673,4e-05,6e-05,4,False
0.0001,9,0.00010618164096904607,6.181640969046069e-06,False,0.923807900000611,0.00014,3.999999999999998e-05,14,False
1e-05,0,1.1942651485891195e-05,1.942651485891194e-06,False,0.9821293000004516,2e-05,1e-05,2,False
1e-05,1,8.353944057535845e-06,1.6460559424641561e-06,False,0.9403645000002143,2e-05,1e-05,2,False
1e-05,2,1.0675353143655493e-05,6.75353143655492e-07,False,0.9168346999995265,1e-05,0.0,1,False
1e-05,3,9.86996672485726e-06,1.3003327514274128e-07,False,0.9341793000003236,0.0,1e-05,0,True
1e-05,4,1.5421794467582935e-05,5.421794467582934e-06,False,0.9199516000007861,2e-05,1e-05,2,False
1e-05,5,1.216077671560847e-05,2.1607767156084696e-06,False,0.9534833000016079,1e-05,0.0,1,False
1e-05,6,1.3510981051614715e-05,3.5109810516147137e-06,False,0.9141449999988254,0.0,1e-05,0,True
1e-05,7,8.353944057535845e-06,1.6460559424641561e-06,False,0.9281326999989687,0.0,1e-05,0,True
1e-05,8,5.259713350585471e-06,4.74028664941453e-06,False,0.9322190000002593,0.0,1e-05,0,True
1e-05,9,4.042746223191857e-06,5.957253776808144e-06,False,0.9261576999997487,3e-05,1.9999999999999998e-05,3,False
1e-06,0,2.088490376176013e-06,1.0884903761760129e-06,False,0.924449200001618,1e-05,9e-06,1,False
1e-06,1,1.0106875772873433e-06,1.0687577287343325e-08,False,0.9318884999993315,0.0,1e-06,0,True
1e-06,2,2.526719581649543e-07,7.473280418350457e-07,False,0.9370897000007972,0.0,1e-06,0,True
1e-06,3,0.0,1e-06,True,0.9198943999999756,0.0,1e-06,0,True
1e-06,4,0.0,1e-06,True,0.9199511999995593,1e-05,9e-06,1,False
1e-06,5,0.0,1e-06,True,0.9123572999997123,1e-05,9e-06,1,False
1e-06,6,0.0,1e-06,True,0.9340802999995503,0.0,1e-06,0,True
1e-06,7,0.0,1e-06,True,0.9208959000006871,0.0,1e-06,0,True
1e-06,8,0.0,1e-06,True,0.9433408999993844,0.0,1e-06,0,True
1e-06,9,0.0,1e-06,True,0.9329656000008981,1e-05,9e-06,1,False
1e-07,0,0.0,1e-07,True,0.9361703999984456,0.0,1e-07,0,True
1e-07,1,0.0,1e-07,True,0.9347288999997545,0.0,1e-07,0,True
