TRUE_PROBABILITY,REQUESTED_BUDGET,QAE_BUDGET,QAE_POWERS,TRIAL,QAE_ESTIMATE,QAE_ERROR,QAE_RUNTIME_SEC,MC_ESTIMATE,MC_ERROR,MC_SAMPLES,MC_RUNTIME_SEC
0.1,5000,4096,[0],0,0.0952183781783759,0.004781621821624102,0.22004959999958373,0.097,0.0030000000000000027,5000,0.0012224000001879176
0.1,5000,4096,[0],1,0.09740570420462125,0.0025942957953787593,0.1619314999998096,0.1018,0.001799999999999996,5000,9.469999986322364e-05
0.1,5000,4096,[0],2,0.09716364062774284,0.002836359372257166,0.14469930000086606,0.1064,0.006399999999999989,5000,8.139999954437371e-05
0.1,5000,4096,[0],3,0.0964390632055388,0.003560936794461206,0.14531859999988228,0.0964,0.003600000000000006,5000,8.010000055946875e-05
0.1,5000,4096,[0],4,0.10375484118015314,0.0037548411801531373,0.14468310000029305,0.1032,0.0031999999999999945,5000,8.109999998850981e-05
0.1,5000,4096,[0],5,0.09985992450212024,0.00014007549787976858,0.2186106999997719,0.0914,0.00860000000000001,5000,9.310000041296007e-05
0.1,5000,4096,[0],6,0.0976480363972082,0.002351963602791801,0.16131120000045485,0.0994,0.0006000000000000033,5000,9.669999963080045e-05
0.1,5000,4096,[0],7,0.09692184582808057,0.0030781541719194366,0.17250020000028599,0.095,0.0050000000000000044,5000,9.270000009564683e-05
0.1,5000,4096,[0],8,0.10473405793032096,0.004734057930320959,0.16846869999972114,0.098,0.0020000000000000018,5000,9.32000002649147e-05
0.1,5000,4096,[0],9,0.10912203830333556,0.00912203830333555,0.16036970000004658,0.1078,0.007800000000000001,5000,9.32000002649147e-05
0.1,10000,4096,[0],0,0.0952183781783759,0.004781621821624102,0.16907439999977214,0.0994,0.0006000000000000033,10000,0.0001578999999765074
0.1,10000,4096,[0],1,0.09740570420462125,0.0025942957953787593,0.17835549999927025,0.1025,0.0024999999999999883,10000,0.00018519999957788968
0.1,10000,4096,[0],2,0.09716364062774284,0.002836359372257166,0.1820241999994323,0.103,0.002999999999999989,10000,0.00016320000031555537
0.1,10000,4096,[0],3,0.0964390632055388,0.003560936794461206,0.1667141999996602,0.0968,0.0032000000000000084,10000,0.00016400000004068715
0.1,10000,4096,[0],4,0.10375484118015314,0.0037548411801531373,0.4052576999993107,0.101,0.0010000000000000009,10000,0.0001886000000013155
0.1,10000,4096,[0],5,0.09985992450212024,0.00014007549787976858,0.30705610000040906,0.0968,0.0032000000000000084,10000,0.00018760000057227444
0.1,10000,4096,[0],6,0.0976480363972082,0.002351963602791801,0.44357750000017404,0.1019,0.001899999999999999,10000,0.0001894999995784019
0.1,10000,4096,[0],7,0.09692184582808057,0.0030781541719194366,0.2679534999997486,0.0974,0.002600000000000005,10000,0.00019079999947280157
0.1,10000,4096,[0],8,0.10473405793032096,0.004734057930320959,0.27790770000046905,0.098,0.0020000000000000018,10000,0.00017839999964053277
