OBJECT_A,NORAD_A,OBJECT_B,NORAD_B,TCA,MISS_DISTANCE_KM,RELATIVE_VELOCITY_KM_S,SIGMA_A_KM,SIGMA_B_KM,MC_COLLISION_HITS,MC_SAMPLES,COLLISION_PROBABILITY_MC,MC_UPPER_95_PROBABILITY,INCLINATION_DIFFERENCE_DEG,ALTITUDE_DIFFERENCE_KM,QAE_TARGET_PROBABILITY,QAE_ESTIMATED_PROBABILITY,QAE_AMPLIFICATION,QAE_SCALED_PROBABILITY,QAE_SCALED_ESTIMATE,QAE_TARGET_SCALED_PROBABILITY,MC_PROBABILITY,QAE_ABSOLUTE_ERROR,MC_ABSOLUTE_ERROR,QAE_RELATIVE_ERROR,MC_RELATIVE_ERROR,QAE_EXECUTION_TIME_S,MODEL_EXECUTION_TIME_S,QAE_SHOTS,QAE_MEASUREMENTS
ORBCOMM FM06,25118,SCD 2,25504,2026-09-02 14:25:38.987744+00:00,8.377960020792786,6.125493470733603,8.05617301222222,8.615836962222222,0,1000000,0.0,2.995732273553991e-06,20.0174,7.1045089346762325,1.007420797529673e-09,9.979758065524883e-10,992633.8650662467,0.001,0.0009906245821008014,0.001,0.0,9.444990977184666e-12,1.007420797529673e-09,0.009375417899198641,1.0,0.9163019000006898,0.0011178999993717298,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 1.007420797529673e-09, 'amplification': 992633.8650662467, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 9.979758065524883e-10, 'target_scaled_probability': 0.001}"
IRIDIUM 33 DEB,37136,COSMOS 2251 DEB,33764,2026-09-01 17:19:38.987744+00:00,19.523646241673703,9.037100081884676,7.693967237222222,11.761961177222222,0,1000000,0.0,2.995732273553991e-06,12.1357,38.22978435724417,2.920243656676811e-10,2.8928651520279824e-10,3424371.790736063,0.001,0.0009906245821008014,0.001,0.0,2.737850464882866e-12,2.920243656676811e-10,0.009375417899198503,1.0,1.352728300000308,0.000185500000952743,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 2.920243656676811e-10, 'amplification': 3424371.790736063, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 2.8928651520279824e-10, 'target_scaled_probability': 0.001}"
COSMOS 2251 DEB,33757,STELLA,22824,2026-09-01 09:16:38.987744+00:00,21.576620677251253,11.956362844109409,11.454310702222225,6.261067687222222,0,1000000,0.0,2.995732273553991e-06,24.731300000000005,17.256352894339216,2.440256994067292e-10,2.4173785649664693e-10,4097929.0395691176,0.001,0.0009906245821008014,0.001,0.0,2.2878429100822893e-12,2.440256994067292e-10,0.00937541789919853,1.0,2.2116917000003014,0.00029829999948560726,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 2.440256994067292e-10, 'amplification': 4097929.0395691176, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 2.4173785649664693e-10, 'target_scaled_probability': 0.001}"
TECHSAT 1B (GO-32),25397,WESTPAC,25398,2026-09-05 19:49:38.987744+00:00,23.302117807186583,0.8746452995357606,12.880140897222224,13.946070852222222,0,1000000,0.0,2.995732273553991e-06,0.0080999999999988,4.658346715275911,1.4641327571833197e-10,1.4504059007248203e-10,6829981.7423919095,0.001,0.0009906245821008014,0.001,0.0,1.3726856458499397e-12,1.4641327571833197e-10,0.009375417899198536,1.0,1.8263982999997097,0.00028480000037234277,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 1.4641327571833197e-10, 'amplification': 6829981.7423919095, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 1.4504059007248203e-10, 'target_scaled_probability': 0.001}"
STELLA,22824,ITAMSAT (IO-26),22826,2026-09-05 10:04:38.987744+00:00,31.93247497047456,0.3566322055002888,12.311067687222224,12.612876447222224,0,1000000,0.0,2.995732273553991e-06,0.0892999999999943,13.09328680806084,7.528945320416717e-11,7.458358311697595e-11,13282072.819525423,0.001,0.0009906245821008014,0.001,0.0,7.058700871912186e-13,7.528945320416717e-11,0.009375417899198525,1.0,1.794273700001213,0.000473000000056345,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 7.528945320416717e-11, 'amplification': 13282072.819525423, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 7.458358311697595e-11, 'target_scaled_probability': 0.001}"
IRIDIUM 33 DEB,33776,RIGIDSPHERE 2 (LCS 4),5398,2026-09-03 09:28:38.987744+00:00,32.766688533631815,1.6314797761541515,14.624775402222223,9.326451882222225,0,1000000,0.0,2.995732273553991e-06,1.2152999999999992,2.213989124696127,6.84619310665862e-11,6.782007185265082e-11,14606657.808518404,0.001,0.0009906245821008014,0.001,0.0,6.418592139353803e-13,6.84619310665862e-11,0.009375417899198707,1.0,1.7163342000003468,0.0002889000006689457,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 6.84619310665862e-11, 'amplification': 14606657.808518404, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 6.782007185265082e-11, 'target_scaled_probability': 0.001}"
COSMOS 2251 DEB,33761,SCD 2,25504,2026-08-31 17:55:38.987744+00:00,32.80591667885567,11.260945847041446,10.888889852222224,5.834586962222222,0,1000000,0.0,2.995732273553991e-06,49.0395,7.867330191716974,3.320344905386744e-11,3.2892152843292686e-11,30117353.121287346,0.001,0.0009906245821008014,0.001,0.0,3.1129621057475644e-13,3.320344905386744e-11,0.009375417899198563,1.0,1.664285500000915,0.0003018000006704824,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 3.320344905386744e-11, 'amplification': 30117353.121287346, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 3.2892152843292686e-11, 'target_scaled_probability': 0.001}"
ITAMSAT (IO-26),22826,FORTE,24920,2026-09-02 03:58:38.987744+00:00,35.25482766558378,12.493323065942064,7.731626447222222,7.4354463922222225,0,1000000,0.0,2.995732273553991e-06,28.72510000000001,11.427151551193674,7.778764351597562e-12,7.705835185061947e-12,128555121.97057688,0.001,0.0009906245821008014,0.001,0.0,7.292916653561559e-14,7.778764351597562e-12,0.009375417899198575,1.0,0.9660387999992963,0.00028899999961140566,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 7.778764351597562e-12, 'amplification': 128555121.97057688, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 7.705835185061947e-12, 'target_scaled_probability': 0.001}"
IRIDIUM 33 DEB,33777,IRIDIUM 33 DEB,37548,2026-09-02 04:19:38.987744+00:00,38.712336912539904,1.0592917917174665,12.973890547222222,8.153478817222222,0,1000000,0.0,2.995732273553991e-06,0.0255999999999971,13.712545459240571,2.43160089117855e-11,2.4088036166596878e-11,41125169.99100618,0.001,0.0009906245821008014,0.001,0.0,2.2797274518862305e-13,2.43160089117855e-11,0.00937541789919846,1.0,0.941612200000236,0.00015720000010333024,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 2.43160089117855e-11, 'amplification': 41125169.99100618, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 2.4088036166596878e-11, 'target_scaled_probability': 0.001}"
RIGIDSPHERE 2 (LCS 4),5398,FORTE,24920,2026-09-02 14:07:38.987744+00:00,40.13916653755986,12.619416060182818,8.117076882222221,8.069821392222222,0,1000000,0.0,2.995732273553991e-06,17.6721,33.226388752092134,3.0302261744840706e-12,3.0018165377691926e-12,330008369.8109634,0.001,0.0009906245821008014,0.001,0.0,2.8409636714878038e-14,3.0302261744840706e-12,0.009375417899198595,1.0,0.9674226999995881,0.00017019999904732686,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 3.0302261744840706e-12, 'amplification': 330008369.8109634, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 3.0018165377691926e-12, 'target_scaled_probability': 0.001}"
