OBJECT_A,NORAD_A,OBJECT_B,NORAD_B,TCA,MISS_DISTANCE_KM,RELATIVE_VELOCITY_KM_S,PERIGEE_A_KM,PERIGEE_B_KM,OBJECT_A_TYPE,OBJECT_B_TYPE,COLLISION_TYPE,REENTRY_LIKELIHOOD_A,REENTRY_LIKELIHOOD_B
ORBCOMM FM06,25118,SCD 2,25504,2026-09-02T14:25:38.987744+00:00,8.377960020792786,6.125493470733603,732.8605118450942,728.299891086428,SATELLITE,SATELLITE,SATELLITE-SATELLITE,Low (decades-centuries),Low (decades-centuries)
IRIDIUM 33 DEB,37136,COSMOS 2251 DEB,33764,2026-09-01T17:19:38.987744+00:00,19.523646241673703,9.037100081884676,743.8948404170433,743.8071750777235,DEBRIS,DEBRIS,DEBRIS-DEBRIS,Low (decades-centuries),Low (decades-centuries)
COSMOS 2251 DEB,33757,STELLA,22824,2026-09-01T09:16:38.987744+00:00,21.576620677251253,11.956362844109409,772.4276565944147,795.2145690869665,DEBRIS,SATELLITE,DEBRIS-SATELLITE,Low (decades-centuries),Low (decades-centuries)
TECHSAT 1B (GO-32),25397,WESTPAC,25398,2026-09-05T19:49:38.987744+00:00,23.302117807186583,0.8746452995357606,809.0616109348875,813.7537776048221,SATELLITE,SATELLITE,SATELLITE-SATELLITE,Low (decades-centuries),Low (decades-centuries)
STELLA,22824,ITAMSAT (IO-26),22826,2026-09-05T10:04:38.987744+00:00,31.93247497047456,0.3566322055002888,795.2145690869665,781.3269968993636,SATELLITE,SATELLITE,SATELLITE-SATELLITE,Low (decades-centuries),Low (decades-centuries)
IRIDIUM 33 DEB,33776,RIGIDSPHERE 2 (LCS 4),5398,2026-09-03T09:28:38.987744+00:00,32.766688533631815,1.6314797761541515,751.2378689206071,722.945920119636,DEBRIS,SATELLITE,DEBRIS-SATELLITE,Low (decades-centuries),Low (decades-centuries)
COSMOS 2251 DEB,33761,SCD 2,25504,2026-08-31T17:55:38.987744+00:00,32.80591667885567,11.260945847041446,731.8249218124402,728.299891086428,DEBRIS,SATELLITE,DEBRIS-SATELLITE,Low (decades-centuries),Low (decades-centuries)
ITAMSAT (IO-26),22826,FORTE,24920,2026-09-02T03:58:38.987744+00:00,35.25482766558378,12.493323065942064,781.3269968993636,782.7182091977747,SATELLITE,SATELLITE,SATELLITE-SATELLITE,Low (decades-centuries),Low (decades-centuries)
IRIDIUM 33 DEB,33777,IRIDIUM 33 DEB,37548,2026-09-02T04:19:38.987744+00:00,38.712336912539904,1.0592917917174665,695.7086627803028,697.792371097974,DEBRIS,DEBRIS,DEBRIS-DEBRIS,Low (decades-centuries),Low (decades-centuries)
RIGIDSPHERE 2 (LCS 4),5398,FORTE,24920,2026-09-02T14:07:38.987744+00:00,40.13916653755986,12.619416060182818,722.945920119636,782.7182091977747,SATELLITE,SATELLITE,SATELLITE-SATELLITE,Low (decades-centuries),Low (decades-centuries)
USA 119,23893,DIWATA 2B,43678,2026-09-06T00:16:38.987744+00:00,45.454821414895065,12.58623272230416,447.29079595410894,556.8587045556797,SATELLITE,SATELLITE,SATELLITE-SATELLITE,High (months-few years),Moderate (years-decades)
COSMOS 2251 DEB,33760,ORBCOMM FM04,25159,2026-09-04T19:43:38.987744+00:00,47.48146359591293,14.917422737524069,757.2461925104326,742.6155837282113,DEBRIS,SATELLITE,DEBRIS-SATELLITE,Low (decades-centuries),Low (decades-centuries)
IRIDIUM 33 DEB,33866,COSMOS 2251 DEB,33766,2026-09-03T03:40:38.987744+00:00,51.60971991321022,4.469460961905809,721.5066030275648,728.0783715789612,DEBRIS,DEBRIS,DEBRIS-DEBRIS,Low (decades-centuries),Low (decades-centuries)
IRIDIUM 33 DEB,33776,COSMOS 2251 DEB,33758,2026-09-04T23:55:38.987744+00:00,53.51946128110807,11.618476818412988,751.2378689206071,704.0060552500399,DEBRIS,DEBRIS,DEBRIS-DEBRIS,Low (decades-centuries),Low (decades-centuries)
RIGIDSPHERE 2 (LCS 4),5398,ITAMSAT (IO-26),22826,2026-09-03T15:37:38.987744+00:00,55.60644436879602,1.4876913960899285,722.945920119636,781.3269968993636,SATELLITE,SATELLITE,SATELLITE-SATELLITE,Low (decades-centuries),Low (decades-centuries)
OSCAR 7 (AO-7),7530,AJISAI (EGS),16908,2026-09-02T05:04:38.987744+00:00,56.15356637810265,6.368441188391394,1439.4974330484256,1478.6787872808181,SATELLITE,SATELLITE,SATELLITE-SATELLITE,"Negligible (centuries+, effectively stable)","Negligible (centuries+, effectively stable)"
IRIDIUM 33 DEB,33853,TECHSAT 1B (GO-32),25397,2026-09-01T04:13:38.987744+00:00,56.4930318798698,1.7871447786903,741.7753431175634,809.0616109348875,DEBRIS,SATELLITE,DEBRIS-SATELLITE,Low (decades-centuries),Low (decades-centuries)
COSMOS 2251 DEB,33760,COSMOS 2251 DEB,33768,2026-09-03T10:43:38.987744+00:00,57.11299686708805,0.4020208327935258,757.2461925104326,768.0018707269546,DEBRIS,DEBRIS,DEBRIS-DEBRIS,Low (decades-centuries),Low (decades-centuries)
COSMOS 2251 DEB,33757,COSMOS 2251 DEB,33760,2026-09-04T20:13:38.987744+00:00,57.51586042718996,5.4570065035695166,772.4276565944147,757.2461925104326,DEBRIS,DEBRIS,DEBRIS-DEBRIS,Low (decades-centuries),Low (decades-centuries)
IRIDIUM 33 DEB,33866,COSMOS 2251 DEB,33760,2026-09-01T09:52:38.987744+00:00,58.80981831879748,14.7662992858739,721.5066030275648,757.2461925104326,DEBRIS,DEBRIS,DEBRIS-DEBRIS,Low (decades-centuries),Low (decades-centuries)
COSMOS 2251 DEB,33760,RIGIDSPHERE 2 (LCS 4),5398,2026-09-02T14:52:38.987744+00:00,62.46905602720469,14.490350644135566,757.2461925104326,722.945920119636,DEBRIS,SATELLITE,DEBRIS-SATELLITE,Low (decades-centuries),Low (decades-centuries)
COSMOS 2251 DEB,33764,ORBCOMM FM04,25159,2026-09-02T03:31:38.987744+00:00,67.57489584520273,14.94340954434429,743.8071750777235,742.6155837282113,DEBRIS,SATELLITE,DEBRIS-SATELLITE,Low (decades-centuries),Low (decades-centuries)
